,kaggle_features,kaggle_featurs_No
0,you,390.32586697288883
1,are,255.18320282332942
2,the,243.6042634444446
3,to,197.55592910733188
4,your,194.72081398376653
5,and,189.19651559338845
6,you are,175.23663985399733
7,is,154.62075979797524
8,of,152.78922905340426
9,that,142.98319726613224
10,it,139.74149195520087
11,xa0,124.58899085765971
12,in,122.29876754179305
13,like,112.40783599313535
14,for,105.67415477518803
15,re,105.01645244340641
16,on,101.67077240846304
17,not,97.80066986624959
18,be,96.49489479149487
19,are you,95.7920542041524
20,you re,94.96398210234777
21,fuck,93.04343569589942
22,have,91.47057947070284
23,what,86.84757711168444
24,this,86.36903667083824
25,just,85.44588812236178
26,he,80.63086960075077
27,so,78.1039389475594
28,an,77.28195680028344
29,with,76.59974796049427
30,all,75.45208717652005
31,don,73.97659093701645
32,as,71.29864051293647
33,they,69.49006446553251
34,about,69.25328665382658
35,idiot,68.26991619304427
36,get,68.00496964958444
37,no,67.98526850404656
38,if,67.622537449761
39,up,66.51604857016102
40,do,65.60593594941759
41,can,65.1280979514175
42,was,63.2231175096359
43,but,62.91100591998426
44,me,61.794243582071964
45,fucking,61.250041442082704
46,know,59.5795235235858
47,or,57.87562018293015
48,out,56.6434528402581
49,we,56.60671147831116
50,will,55.48037855055479
51,go,55.37730493325283
52,my,54.77693649837552
53,how,54.57826432654171
54,when,54.253662592318676
55,one,54.111994485399315
56,who,53.537930965837134
57,shit,52.71621630080207
58,from,52.380502030359914
59,at,51.20330268079489
60,would,50.505131183124625
61,people,47.505947367279504
62,why,46.63886947961278
63,his,46.61362458184878
64,because,46.44449960124301
65,stupid,45.8795377889518
66,then,44.29454327090947
67,now,44.29360685438737
68,really,44.26629782923862
69,little,43.84069386984651
70,right,43.75553324800447
71,more,43.393122313508265
72,here,42.43674257140458
73,think,42.27283499601063
74,there,40.88305505424897
75,by,40.441771480543984
76,an idiot,40.22863220243694
77,has,40.21968335168791
78,in the,40.214672386505434
79,back,39.674673274837026
80,him,39.59020806558223
81,like you,39.384996872544335
82,off,39.081313898630675
83,and you,38.57714049370038
84,than,38.56945618430287
85,some,38.44899556322151
86,good,37.544984116534465
87,lol,37.332611687485006
88,were,37.27084411176033
89,them,36.81695895400003
90,of the,36.76130743877808
91,man,35.7502355777625
92,if you,35.63695531687401
93,better,35.566888663042505
94,only,35.53636503116324
95,time,35.48786091649322
96,too,35.358052705566486
97,say,34.61714849668156
98,bitch,34.39850470166905
99,ass,33.88876076182143
100,their,33.6937428798266
101,should,33.38935589045278
102,moron,33.38213275627365
103,see,32.89406923747472
104,dumb,32.88985443630839
105,her,32.02277235379765
106,make,31.87017949162598
107,still,31.472567295579964
108,to be,31.44564873777191
109,she,30.933939163135705
110,been,30.86629470745364
111,need,30.417350000692416
112,did,30.41400183182782
113,never,30.198497637752894
114,you have,30.135373553568783
115,other,29.921945785047466
116,even,29.900288769248768
117,going,29.860201266992263
118,yourself,29.613121893389742
119,well,29.590639826300524
120,us,29.387315916529932
121,got,28.83706134569424
122,being,28.627848843288014
123,look,28.4212886198727
124,comment,28.268242571667418
125,to the,28.097586356003706
126,white,28.04288171269175
127,ll,27.85877420724325
128,xa0 xa0,27.167036468809282
129,any,27.072574409604364
130,must,26.93379895961869
131,you don,26.774355164693585
132,where,26.662581956962345
133,over,26.640774091222994
134,on the,26.480370390958498
135,very,26.41137749429711
136,our,26.403190719299747
137,obama,25.995540314801175
138,want,25.814035138541605
139,way,25.78345906635755
140,talking,25.68005684415567
141,said,25.376265751704235
142,down,25.31263686442344
143,much,25.259902652021495
144,love,25.152509319175145
145,are an,25.137146672828653
146,life,25.0834844038761
147,yes,24.706859674914938
148,oh,24.049531641987887
149,you can,23.910550740676666
150,stop,23.706533330357267
151,are the,23.65622030750308
152,do you,23.580911800743714
153,when you,23.565457903847012
154,am,23.53613046225438
155,you know,23.46157096960431
156,its,23.427831702892323
157,had,23.39033917156875
158,come,23.318804817361205
159,these,23.223462686078918
160,ever,22.99604864054514
161,take,22.86074751269696
162,again,22.477968734277763
163,fan,22.28116948110966
164,the fuck,22.26414591558713
165,dick,22.110725270118603
166,damn,21.945682974325877
167,out of,21.762349040198885
168,black,21.66939399352375
169,going to,21.465564894643972
170,fuck you,21.304362137803487
171,let,21.249404351347334
172,those,21.213464959131528
173,that you,21.21278852302363
174,post,21.10423878329688
175,and your,21.08012417606145
176,sure,21.07333060284403
177,for the,20.9718641827323
178,old,20.94924169746135
179,real,20.78183287826068
180,you and,20.75724985614623
181,give,20.704028956356332
182,name,20.50463160809131
183,comments,20.464951727217507
184,does,20.457464581200785
185,into,20.401181779959995
186,before,20.379851685865432
187,of your,20.37310898364357
188,loser,20.29310091070962
189,dont,20.22980908491164
190,hope,20.191101162182523
191,own,20.11033000951109
192,please,20.028677209574855
193,another,19.947146004409902
194,nyou,19.876689596104214
195,someone,19.867198784181987
196,nigga,19.80741486312045
197,because you,19.577393652467453
198,read,19.521062411930572
199,didn,19.39925624242164
200,many,19.390396518536008
201,nothing,19.33701753929029
202,shut,19.33498798351458
203,bad,19.316126420473342
204,xa0you,19.242231357893964
205,troll,19.212608602723517
206,something,19.129532329526473
207,wrong,19.08019680439193
208,you really,18.979859221742068
209,first,18.965898477971525
210,money,18.928075974575055
211,most,18.927069044838458
212,that is,18.90887839739265
213,suck,18.8319737480651
214,away,18.812069458254204
215,ve,18.80152658013936
216,in your,18.572587349627664
217,hey,18.408271716671898
218,big,18.34150231448215
219,mean,18.2580208631319
220,god,18.10545766822469
221,with the,18.095713130386592
222,great,18.08388184318789
223,could,18.009274607019726
224,getting,17.99968706678331
225,such,17.931454994410664
226,must be,17.906549121957873
227,point,17.892682653980362
228,talking about,17.81019800497852
229,pathetic,17.768011814673997
230,team,17.58218869691231
231,tell,17.49502111672882
232,and the,17.49310952577026
233,game,17.489277457687894
234,guy,17.47214801922672
235,day,17.45813428295674
236,mom,17.446548515439122
237,always,17.426130188138615
238,anything,17.377293086367278
239,talk,17.334995926641614
240,same,17.326015474451207
241,doing,17.2600722033399
242,mother,17.246656989325295
243,which,17.232097917748007
244,need to,17.192540345436793
245,fat,17.17470172136839
246,sound,17.165534672491013
247,back to,17.13762647220128
248,this is,17.107914890489774
249,it is,17.103001638069944
250,racist,16.90544032512768
251,also,16.895194530090667
252,every,16.893673494084094
253,are so,16.85351571072524
254,yeah,16.827345222459524
255,what you,16.765524763146257
256,funny,16.69004040708977
257,work,16.67807998482455
258,are not,16.669390502491787
259,have to,16.601775867208257
260,guys,16.593149771374417
261,try,16.576098952931904
262,keep,16.574434976867664
263,like your,16.491716168452722
264,years,16.467550507955412
265,xa0 you,16.444279572247932
266,ignorant,16.40044538020603
267,hate,16.37964596064019
268,you must,16.373084077668004
269,after,16.36188474977695
270,actually,16.256494524492375
271,doesn,16.24722081503701
272,you were,16.07084500745845
273,hell,16.019149249001362
274,for your,15.994456450964174
275,he is,15.947101510821787
276,dude,15.927478705756194
277,all the,15.923700900744421
278,wow,15.889974885119376
279,face,15.829548902408053
280,thing,15.789678060062409
281,call,15.561773640509427
282,they are,15.523099129223237
283,feel,15.51828638755458
284,is the,15.418649521077915
285,maybe,15.39041497134246
286,year,15.358817041878796
287,girl,15.33169225835791
288,re an,15.283783813503206
289,want to,15.268241946549697
290,understand,15.222956460200168
291,put,15.218614490638377
292,boy,15.216456056615163
293,to get,15.213433218804647
294,fool,15.20584538816709
295,best,15.12977637426207
296,made,15.12120032971087
297,is not,15.081086785389987
298,person,14.998146358992695
299,you just,14.97988487773509
300,retarded,14.942540952594422
301,while,14.935532368196391
302,ni,14.898446001841682
303,for you,14.810205951622363
304,probably,14.790443536018488
305,is your,14.735698893747072
306,last,14.73242096585096
307,would be,14.681341239426075
308,aren,14.677702606771424
309,saying,14.65978883868298
310,will be,14.616928855323811
311,show,14.581075202927751
312,world,14.563680262842219
313,nice,14.539152960087355
314,but you,14.501881502655836
315,to your,14.402515077310364
316,the same,14.380313085925453
317,watch,14.375904021014948
318,use,14.35087710943467
319,go back,14.33732863827768
320,new,14.254142278905803
321,you should,14.23196244988542
322,looks,14.203879579607715
323,believe,14.144150528369392
324,one of,14.088222112742532
325,hard,14.047674662632456
326,yet,14.006706186290984
327,won,14.005167008176556
328,hole,14.001297367226327
329,on your,13.894909806255958
330,both,13.894880329950164
331,then you,13.675947109492418
332,making,13.672281554488354
333,next,13.663486696556806
334,of you,13.570357023072406
335,anyone,13.568070739758092
336,your comment,13.557891339010446
337,faggot,13.534314435918835
338,isn,13.470962492565523
339,you get,13.362170829212953
340,two,13.349260118997815
341,needs,13.273741037375453
342,true,13.047793406130221
343,you think,13.041530403363256
344,sir,13.018844723191854
345,die,12.909120082515036
346,though,12.879907547731769
347,it was,12.875279900581884
348,your mom,12.87346017145739
349,trash,12.872675451060667
350,what are,12.857919483306262
351,you sound,12.78546197083895
352,play,12.669508954712006
353,to do,12.653027292337883
354,com,12.621363607762227
355,fact,12.606856495308302
356,at the,12.596390519983917
357,thought,12.592815658420786
358,idiots,12.574553712409308
359,from the,12.573259063941725
360,may,12.560293375126497
361,you do,12.550202461842957
362,find,12.54505782432946
363,thats,12.537429965677195
364,should be,12.480594905414161
365,gay,12.474812679306558
366,country,12.44499626727623
367,why are,12.437954594847268
368,fans,12.432857916002181
369,did you,12.389570915081384
370,don you,12.378844656840952
371,re not,12.324967215664605
372,pussy,12.284768088470587
373,sorry,12.267362072989828
374,heat,12.259313049563666
375,around,12.241047185232588
376,guess,12.18624581150497
377,job,12.143224339014578
378,are just,12.143095805574628
379,piece,12.128553798943434
380,have been,12.068354767113403
381,under,12.031347794795561
382,mouth,11.982539251775455
383,thanks,11.874277243608455
384,today,11.86313175421172
385,thank,11.838449063588056
386,fucked,11.818555178939908
387,head,11.789517995216793
388,everyone,11.76044279205834
389,wait,11.714321842144779
390,welcome,11.703850408662143
391,you talking,11.700336259679412
392,far,11.64432884318191
393,kind,11.627904841566439
394,enough,11.609945809431466
395,im,11.607844585322663
396,crap,11.579615568694104
397,trying,11.575147101636755
398,you to,11.56102919864741
399,your own,11.524040347267176
400,president,11.49786024679152
401,least,11.485325310055687
402,don know,11.4254645307116
403,long,11.418839037341767
404,piece of,11.416589484763199
405,he was,11.387654017021276
406,you need,11.384539943816607
407,left,11.377121200738342
408,reason,11.365264913536464
409,xa0i,11.34816591653808
410,to say,11.30245772124162
411,start,11.279301382988033
412,win,11.27798389502173
413,thank you,11.238529905230038
414,sounds,11.22368366263422
415,hope you,11.171016954829643
416,hot,11.153396106314068
417,posts,11.118698790649784
418,what the,11.097698884483117
419,what is,11.080344292860405
420,else,11.078116343573885
421,ya,11.074304396184148
422,mind,11.057406090366015
423,fuckin,11.04992047405545
424,help,11.034029710409737
425,to you,11.02001113295619
426,kidding,11.0023503151691
427,news,10.96869494966446
428,already,10.928043018235405
429,kill,10.883687635944947
430,family,10.821547595738917
431,you ll,10.783246548944936
432,done,10.755066851564086
433,sick,10.752982384585012
434,trying to,10.752016095468496
435,nand,10.737265631934779
436,truth,10.707483767462458
437,romney,10.68762077767395
438,know what,10.672360283441048
439,women,10.615691787036255
440,at least,10.594376271080554
441,care,10.584521411640273
442,beautiful,10.568759068385138
443,ur,10.5551026270027
444,as you,10.533650389980087
445,looks like,10.532815497327345
446,times,10.495733470046783
447,pay,10.493322177971883
448,american,10.440744283127938
449,nobody,10.422370370722085
450,yours,10.418416352629784
451,you guys,10.399248392962514
452,makes,10.388214584034998
453,without,10.382636579699582
454,ha,10.375444621077948
455,better than,10.342392328107461
456,either,10.335174235356877
457,pretty,10.327920772748469
458,by the,10.320826056494717
459,needs to,10.313244406817361
460,sound like,10.30381025366875
461,you would,10.272553868551471
462,all of,10.258489023341177
463,having,10.255933739518719
464,run,10.255452797641807
465,can you,10.230888733704258
466,live,10.22376184425677
467,haha,10.163648010510132
468,you will,10.09886206777103
469,men,10.087287039706304
470,problem,10.08608172328124
471,de,10.077234542444021
472,like the,10.00727081720429
473,watching,9.98505219348805
474,we are,9.975458140354736
475,da,9.963642641995184
476,home,9.895899317944439
477,calling,9.886345341585795
478,called,9.885005381323017
479,since,9.83136820975063
480,change,9.824656898164534
481,internet,9.812320561244965
482,look like,9.81229367633295
483,others,9.79835995533701
484,might,9.786508522677417
485,house,9.783681349375852
486,lot,9.780431753577687
487,like that,9.75257815793562
488,you like,9.746529104244111
489,fun,9.743565648516448
490,bet,9.700008044850744
491,human,9.679016214461084
492,so you,9.644974659181937
493,america,9.636453718181189
494,full,9.627134475337149
495,have no,9.59930818703894
496,high,9.5990428304494
497,with you,9.577849226255019
498,correct,9.556108690527921
499,wife,9.555298583412169
500,awesome,9.511266793801942
501,against,9.509260619688016
502,asshole,9.496314637424899
503,things,9.493784359212725
504,retard,9.469709404760698
505,seem,9.46827878369707
506,there is,9.446205436462156
507,your mother,9.3919310695986
508,are right,9.390953319274315
509,class,9.382398561474204
510,with your,9.376871318460285
511,do not,9.346258626473078
512,to see,9.33842718187317
513,get the,9.319114497449998
514,ho,9.292138509266325
515,go to,9.279580365395148
516,whole,9.26713677778729
517,proud,9.26414760204461
518,complete,9.222437173006824
519,it not,9.205097173874394
520,gonna,9.190785681399074
521,until,9.18759522285906
522,remember,9.180458347747258
523,happy,9.173366658019606
524,that the,9.167580093855136
525,fake,9.150403888757168
526,used,9.14862553485565
527,says,9.144067442779841
528,thinking,9.116761738521964
529,vote,9.109443839498123
530,liberal,9.06549878852346
531,ask,9.03371321894512
532,games,9.030130783423619
533,to go,9.025064509264652
534,why you,9.000673273195025
535,are moron,8.993119523285436
536,child,8.984787472435624
537,lose,8.962415697077823
538,part,8.958380141603985
539,yes you,8.955443504400135
540,hit,8.94803670055638
541,bit,8.935745158502453
542,have you,8.92581587108081
543,kid,8.889831155172065
544,to have,8.878991115789008
545,lmao,8.864093003707525
546,course,8.806010316807814
547,matter,8.800010959036081
548,poor,8.797277050376307
549,living,8.79456759536367
550,lost,8.793849973682931
551,coming,8.783904061825123
552,free,8.747668276548211
553,everything,8.747347599078804
554,em,8.745656364092111
555,the only,8.709884523378669
556,wouldn,8.690478375157543
557,disqus,8.689739592738638
558,you got,8.686173574078317
559,friends,8.682789387576072
560,smart,8.671166109803679
561,ok,8.66902076094596
562,night,8.647622361957126
563,act,8.64085428145923
564,eat,8.632898404406372
565,gets,8.632265538828563
566,and it,8.583754551016
567,school,8.581815915740604
568,about it,8.563011271586513
569,you sir,8.562174188644484
570,seen,8.52322687316215
571,agree,8.521709696654163
572,crazy,8.509274474246373
573,mad,8.498421437264208
574,words,8.49832760682735
575,to make,8.494428210472313
576,end,8.486851260406736
577,can be,8.471032799353289
578,on this,8.469909767556311
579,think you,8.469387371330226
580,obviously,8.465583434971386
581,you say,8.46428365383533
582,children,8.454839271294626
583,hear,8.452577156008289
584,is that,8.434968626249768
585,disgusting,8.408191331865792
586,dead,8.403048923176765
587,who is,8.395618092590963
588,whore,8.391164450394728
589,ugly,8.292290685687853
590,they re,8.285443547623002
591,reading,8.283599147724162
592,get your,8.276686910468051
593,fuck up,8.267454525346869
594,realize,8.267121947468874
595,really are,8.252362911304216
596,has been,8.22228958610249
597,seriously,8.212697576957556
598,stand,8.179637780857119
599,niggas,8.170124942954583
600,word,8.15626192810671
601,cause,8.150713231604163
602,but it,8.14944718110035
603,know you,8.122763283188396
604,now you,8.119147074158882
605,through,8.111252123459105
606,who are,8.103748340233603
607,opinion,8.078389682409888
608,xa0you are,8.067235327859338
609,have the,8.058119273403674
610,once,8.052671385120556
611,son,8.014771817824448
612,not the,8.005242507574708
613,about the,7.987772942708645
614,took,7.986178044618743
615,race,7.986103846840139
616,sad,7.985947948932264
617,the other,7.985264472850026
618,your comments,7.979405955923353
619,ago,7.9735754920715465
620,playing,7.9557225337871955
621,less,7.939273469304606
622,self,7.899173027631279
623,fuck off,7.8922688998137005
624,more than,7.8894268221243635
625,friend,7.8876288368970995
626,la,7.876140087395353
627,each,7.86138658352196
628,off the,7.8516916693939285
629,does not,7.842552931564917
630,woman,7.838630930323672
631,father,7.834981013833931
632,no you,7.8239959227535305
633,where are,7.818145806634884
634,nyou are,7.817122870024123
635,shut the,7.8115285834681965
636,you want,7.80810680698834
637,looking,7.797057222372253
638,to me,7.788759999925913
639,killing,7.775594891599788
640,just like,7.765901729220351
641,facts,7.752849236620679
642,goes,7.733028378257592
643,bitches,7.729641249526354
644,nthe,7.725086520545777
645,bush,7.711899261239465
646,english,7.6892557085125794
647,kids,7.688805789439783
648,would have,7.67644230993998
649,liberals,7.673566827154048
650,place,7.649111960566932
651,idea,7.6318615126065845
652,you all,7.5971584221016295
653,would you,7.595697138358777
654,serious,7.583314608888289
655,weak,7.581040261924059
656,soon,7.579681722022845
657,you mean,7.577816394177417
658,sounds like,7.569639205365161
659,sense,7.5544836004684415
660,of shit,7.54845364519403
661,you still,7.545571855469956
662,kind of,7.54367890807796
663,aren you,7.537918307824404
664,clearly,7.530296262632531
665,few,7.526065599711792
666,is just,7.525801539719771
667,wtf,7.515235744344516
668,ball,7.508912868304372
669,young,7.49694756986466
670,beat,7.4845236742851124
671,posting,7.473481780931181
672,story,7.468033293604098
673,sir are,7.463044089574041
674,don have,7.452344185177871
675,girls,7.45175417827409
676,the world,7.43926226130771
677,holy,7.429892524110219
678,rest,7.4260639439076
679,wow you,7.417754132906304
680,why don,7.416503966114028
681,of course,7.389283800129814
682,you you,7.376807713071359
683,leave,7.366502701991753
684,cut,7.361166870988563
685,unless,7.356523483057224
686,talk about,7.340155769029647
687,is it,7.321811102308734
688,enjoy,7.319052561650084
689,wish,7.266847797936121
690,take your,7.256637402474263
