,youtube_features,youtube_featurs_No
0,the,148.02707436014904
1,you,132.99953602102426
2,to,119.65187749785095
3,is,119.53409018531947
4,and,116.30012842927967
5,this,112.32750123454683
6,it,112.27202470969476
7,that,99.48687318184507
8,of,93.26953098762786
9,in,88.4846783798466
10,like,85.4940884030392
11,so,84.89958632520049
12,my,84.29639706709374
13,was,76.59515938122553
14,on,76.21704302076164
15,love,75.9072349164937
16,your,75.75442047199512
17,me,75.74786711540588
18,for,75.08126850957578
19,are,74.57020082401272
20,he,72.45880666792208
21,just,70.88582478405696
22,but,69.56674037479586
23,have,69.51844256756611
24,not,66.80365074691684
25,they,64.64759229597462
26,what,64.59749472880569
27,lol,64.1634616617479
28,be,63.78250222586484
29,with,61.46376122904212
30,do,61.327326748756406
31,song,60.84721242264171
32,if,60.236802002437884
33,can,60.10416241223943
34,she,59.675461607547085
35,all,57.40941497456691
36,up,56.697298638711686
37,at,55.60801879786631
38,no,55.51637278441973
39,one,55.07487395735435
40,good,54.77080360584939
41,video,54.11312092784244
42,get,52.692969775225414
43,how,51.52950317691635
44,this is,47.803157193887905
45,when,47.64550815531017
46,out,47.20509303071736
47,really,47.06886836767862
48,her,47.05935816414051
49,or,46.94888559631573
50,people,46.57884584542731
51,its,46.29491276968665
52,know,46.206219413208956
53,would,45.77270042668277
54,from,45.44050683274073
55,im,45.3751882576158
56,as,44.87732094773388
57,don,43.72755901202951
58,there,43.5354911585744
59,about,43.29649383806291
60,think,42.541010515209486
61,in the,42.07373279302841
62,why,41.76483823578399
63,we,41.413053148119566
64,fuck,41.39036737523526
65,did,41.12369491838866
66,will,40.942037030620774
67,who,39.82670103922939
68,make,39.743844678081004
69,this song,39.190857480317206
70,his,39.13511017675304
71,shit,38.96217389695619
72,them,38.85823587296944
73,an,38.65301493431034
74,more,38.55717454925033
75,re,38.54583104018607
76,go,38.427775058685924
77,now,38.061646060990846
78,got,37.908727803709624
79,dont,36.962627349976636
80,much,36.67140827985038
81,of the,36.43826058889063
82,xd,36.4358310064446
83,see,36.30696822585525
84,him,36.19801367290008
