,y_true_bool,y_predict_prob_0,y_predict_prob_1,y_true_binary,y_prediction
0,False,0.80416495,0.19583505,0,0
1,False,0.9176725,0.082327485,0,0
2,False,0.83521473,0.16478522,0,0
3,False,0.8149363,0.18506369,0,0
4,False,0.9047558,0.09524419,0,0
5,False,0.9020802,0.09791976,0,0
6,False,0.81096506,0.18903492,0,0
7,False,0.8824179,0.117582105,0,0
8,False,0.7819718,0.2180282,0,0
9,False,0.8714384,0.12856162,0,0
10,False,0.76585466,0.23414534,0,0
11,False,0.8751812,0.12481887,0,0
12,False,0.73979646,0.2602036,0,0
13,False,0.7475342,0.25246578,0,0
14,False,0.81434476,0.1856552,0,0
15,False,0.86433846,0.13566154,0,0
16,False,0.7769205,0.22307946,0,0
17,False,0.9558747,0.04412532,0,0
18,False,0.8312479,0.16875215,0,0
19,False,0.71948653,0.28051344,0,0
20,False,0.81050277,0.18949719,0,0
21,False,0.8534863,0.14651366,0,0
22,False,0.8538719,0.14612809,0,0
23,False,0.79270726,0.20729275,0,0
24,False,0.86028755,0.13971248,0,0
25,False,0.8056427,0.19435729,0,0
26,False,0.80693555,0.19306451,0,0
27,False,0.8547238,0.14527625,0,0
28,False,0.9830482,0.016951824,0,0
29,False,0.7773366,0.22266342,0,0
30,False,0.87725246,0.1227476,0,0
31,False,0.7036662,0.29633382,0,0
32,False,0.74294585,0.25705418,0,0
33,False,0.80539745,0.1946026,0,0
34,False,0.80503714,0.19496286,0,0
35,True,0.83999026,0.16000979,1,0
36,True,0.83957165,0.16042832,1,0
37,False,0.87823635,0.12176365,0,0
38,False,0.7781087,0.2218913,0,0
39,False,0.72144693,0.27855307,0,0
40,False,0.82654494,0.17345504,0,0
41,False,0.81745064,0.18254937,0,0
42,False,0.9075204,0.09247959,0,0
43,False,0.7485322,0.25146776,0,0
44,False,0.80182576,0.1981743,0,0
45,True,0.7236997,0.27630028,1,0
46,False,0.7155852,0.28441486,0,0
47,True,0.54292774,0.45707223,1,0
48,False,0.85481244,0.14518756,0,0
49,False,0.85919344,0.14080654,0,0
50,False,0.8067733,0.19322668,0,0
51,False,0.74154305,0.2584569,0,0
52,False,0.7606082,0.23939182,0,0
53,False,0.80452603,0.19547391,0,0
54,False,0.78810966,0.21189034,0,0
55,False,0.7201768,0.27982318,0,0
56,True,0.7591631,0.24083687,1,0
57,False,0.81009364,0.18990637,0,0
58,True,0.585242,0.414758,1,0
59,False,0.7927855,0.20721452,0,0
60,False,0.82342935,0.17657065,0,0
61,True,0.8420471,0.15795286,1,0
62,False,0.9420294,0.05797053,0,0
63,False,0.8048822,0.1951178,0,0
64,False,0.90223145,0.09776851,0,0
65,False,0.81212777,0.18787229,0,0
66,False,0.8168294,0.18317068,0,0
67,False,0.87824315,0.1217569,0,0
68,True,0.6962541,0.30374599,1,0
69,False,0.82392585,0.17607413,0,0
70,False,0.8369745,0.16302551,0,0
71,True,0.7944582,0.20554179,1,0
72,False,0.78447336,0.21552664,0,0
73,False,0.77505916,0.2249408,0,0
74,True,0.7779365,0.22206348,1,0
